ID_Vzorky,Typ_Chleba,Svetlost_korky,Porezovitost_striedky,Kvasnicova_aroma,Sladkost_aromy,Oreskova_aroma,Intenzita_chuti,Kyslost,Sladkost_chuti,Slanost,Maslovost,Chrumkavost_korky,Makkost_striedky,Zuvatelnost,Vlhkost
Biel_8,Biely_toastovy,7.2,5.2,3.8,3.3,2.3,2.2,2.3,2.9,4.2,1.9,3.8,8.3,2.2,4.2
Masl_8,Maslova_brioska,6.2,4.3,4.2,7.2,3.2,5.9,2.8,6.7,3.2,8.2,4.8,7.9,3.2,5.9
Viac_9,Viaczrnny_fit,2.9,4.6,3.9,3.1,8.6,7.7,2.4,2.2,5.8,1.4,6.9,5.3,7.2,6.2
Kvas_9,Kvaskovy_tradicny,3.8,7.9,8.7,2.1,3.2,8.1,7.6,1.5,6.1,2.2,9.2,3.9,8.1,7.1
Biel_9,Biely_toastovy,8.1,6.2,3.1,4.2,1.5,3.2,1.5,3.8,5.2,2.5,2.9,9.1,3.2,5.4
Masl_9,Maslova_brioska,7.2,5.3,5.2,8.3,4.2,6.8,1.9,7.9,4.3,9.4,3.8,8.8,4.3,6.7
Viac_10,Viaczrnny_fit,3.2,3.9,4.3,2.9,7.8,7.5,2.5,2.1,5.5,1.7,7.1,5.1,6.8,5.9
Kvas_10,Kvaskovy_tradicny,4.1,8.2,8.5,2.3,2.9,8.1,7.5,1.7,6.1,1.8,8.9,4.2,8.1,7.1
Biel_10,Biely_toastovy,7.9,5.9,3.3,3.8,1.7,2.9,1.7,3.5,4.9,2.3,3.1,8.8,2.9,4.9
Masl_10,Maslova_brioska,6.9,4.8,4.9,7.9,3.9,6.5,2.1,7.4,3.9,8.9,4.1,8.5,3.9,6.3
