ID_Vzorky,Typ_Salamy,Farba_rezu,Viditelnost_tuku,Lesk_rezu,Udena_aroma,Pikantna_aroma,Bylinkova_aroma,Kyslasta_aroma,Intenzita_chuti,Slanost,Pikantnost_chuti,Udena_chut,Bylinkova_chut,Kyslost_chuti,Tuhost_pri_hryze
BYLI_5,Bylinkova_special,5.5,7.5,3.5,1.0,1.0,9.5,8.1,7.9,5.6,1.0,1.0,9.1,6.9,7.5
PAPR_6,Paprikova_pikant,8.5,6.7,7.6,2.4,8.1,1.0,5.5,8.1,7.5,8.1,2.4,1.0,4.5,5.5
UDEN_6,Udena_karpaty,5.5,5.5,3.3,8.6,2.4,1.0,6.6,7.6,7.6,1.9,8.6,1.9,5.6,8.6
TALI_6,Talianska_klasik,6.5,7.6,4.5,1.9,3.6,1.9,5.6,6.5,7.1,2.5,1.9,1.5,4.5,5.5
BYLI_6,Bylinkova_special,6.5,6.6,4.3,1.0,1.9,8.6,7.1,7.1,6.5,1.0,1.0,8.1,6.1,6.6
PAPR_7,Paprikova_pikant,9.7,5.4,8.7,1.3,9.3,1.0,4.4,9.3,6.4,9.3,1.3,1.0,3.4,4.4
UDEN_7,Udena_karpaty,4.3,4.4,2.3,9.7,1.3,1.0,7.7,8.7,8.7,1.0,9.7,1.0,6.7,9.7
TALI_7,Talianska_klasik,7.7,8.9,5.6,1.0,4.7,1.0,6.7,7.6,8.3,3.6,1.0,1.0,5.6,6.6
BYLI_7,Bylinkova_special,5.3,7.7,3.3,1.0,1.0,9.7,8.3,8.1,5.4,1.0,1.0,9.3,7.1,7.7
PAPR_8,Paprikova_pikant,8.3,6.9,7.4,2.6,7.9,1.0,5.7,7.9,7.7,7.9,2.6,1.0,4.7,5.7
UDEN_8,Udena_karpaty,5.7,5.7,3.5,8.4,2.6,1.0,6.4,7.4,7.4,2.1,8.4,2.1,5.4,8.4
TALI_8,Talianska_klasik,6.3,7.4,4.3,2.1,3.4,2.1,5.4,6.3,6.9,2.3,2.1,1.7,4.3,5.3
BYLI_8,Bylinkova_special,6.7,6.4,4.5,1.0,2.1,8.4,6.9,6.9,6.7,1.0,1.0,7.9,5.9,6.4
PAPR_9,Paprikova_pikant,8.9,6.4,8.1,1.9,8.7,1.0,5.1,8.8,7.1,8.7,1.9,1.0,4.1,5.2
UDEN_9,Udena_karpaty,5.1,5.1,2.9,9.1,1.9,1.0,7.1,8.1,8.1,1.4,9.1,1.4,6.1,9.1
TALI_9,Talianska_klasik,6.9,8.2,5.1,1.5,4.1,1.5,6.1,7.1,7.6,2.9,1.5,1.1,5.1,6.1
BYLI_9,Bylinkova_special,5.9,7.1,3.9,1.0,1.5,9.1,7.6,7.6,5.9,1.0,1.0,8.6,6.6,7.1
PAPR_10,Paprikova_pikant,9.2,6.1,8.2,2.0,8.5,1.0,5.0,8.5,7.0,8.5,2.0,1.0,4.0,5.0
UDEN_10,Udena_karpaty,5.0,5.0,3.0,9.0,2.0,1.0,7.0,8.0,8.0,1.5,9.0,1.5,6.0,9.0
TALI_10,Talianska_klasik,7.2,8.4,5.3,1.2,4.4,1.2,6.4,7.3,7.9,3.3,1.2,1.0,5.3,6.3
BYLI_10,Bylinkova_special,6.2,7.4,4.2,1.0,1.1,9.4,7.9,7.8,5.7,1.0,1.0,8.9,6.8,7.4
